index,Title,Author,Year,Topic_old,Topic_new,Subtopic #1,Subtopic #2,Goal_old,Goal_new,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Tool,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
,San Giovanni Elemosinario,Jon Bellona and students,2013,,Architecture,,,,Education,,,,,,,Parameter Mapping,,,1,https://vimeo.com/77712677,,,,,,SanGiovanni
,Body Language - How pop musicians sing about the body,Brian Foo,2015,Music,Art,,,Art,Art,,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/149371070,,Sonifcation is a video,https://vimeo.com/149371070,https://datadrivendj.com/tracks/body/,,Body Language - How pop musicians sing about the body
,Lee and Jackson,Brian Foo,2015,Fine Arts,Art,,,Art,Art,,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/129123456,,Sonifcation is a video,https://vimeo.com/129123456,https://datadrivendj.com/tracks/painters/,,Lee and Jackson
,Mesh,Inouk Demers,2017,,Art,,,,Inclusivity,,,,,,,Model Sonification,,,1,https://www.youtube.com/watch?v=1MIQs8NSfWI&utm_content=buffer3c76e&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,,,,,,MESH
,Piano Piece,Judy Twet,2019,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,,Public Venue (live performance),No,No,Parameter Mapping,,,,https://www.youtube.com/watch?v=eYXxAE5grRQ,,You can listen to the sonification live on TED video,No,,,Piano Piece
,Shifting Apple Blossom in Bremen - Data Sonification with a Music Box,Katja Striedelmeyer,2019,Climate Change,Climate Change,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,,https://vimeo.com/326617760,,,,,,Shifting Apple Blossom in Bremen - Data Sonification with a Music Box
,Hear Climate Data Turned Into Music,Chris Chafe of the Center for Computer Research in Music and Acoustics at Stanford,2018,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,Player,,Yex/VIdeo,No,Parameter Mapping,,,,https://www.youtube.com/watch?time_continue=26&v=ONuA9HmkF3M&feature=emb_logo,,Sonifcation is a video,https://www.youtube.com/watch?v=ONuA9HmkF3M&feature=emb_logo,,,Hear Climate Data Turned Into Music
,Climate Symphony,Jamie Perera,2017,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,Player,Public Venue (live performance),Yes/Video,No,Parameter Mapping,,,,https://soundcloud.com/disobedientfilms,,Sonification is on Soundcloud,No,https://www.disobedientfilms.com/climate-change-data-is-being-transformed-wired,,Climate Symphony
,Near Surface Environmentally Forced Changes in the Ross Ice Shelf Observed With Ambient Seismic Noise,,2016,Climate Change,Climate Change,,,Scientific Investigation,Research,Domain Experts,,,Research Lab,Yes/Graphics,No,Audification,,,,https://www.washingtonpost.com/video/national/health-science/listen-to-an-ice-shelf-melting/2018/10/21/8c17711e-d55d-11e8-8384-bcc5492fef49_video.html?itid=lk_inline_manual_7,,Cannot listen to the sonification,https://www.washingtonpost.com/video/national/health-science/listen-to-an-ice-shelf-melting/2018/10/21/8c17711e-d55d-11e8-8384-bcc5492fef49_video.html,https://www.washingtonpost.com/energy-environment/2018/10/22/listen-eerie-song-antarctica-melting/,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL079665,Near Surface Environmentally Forced Changes in the Ross Ice Shelf Observed With Ambient Seismic Noise
,"Planetary Bands, Warming World",Daniel Crawford&Scott S. George/University of Minnesota,2015,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,Player,Public Venue (live performance),No,No,Parameter Mapping,,,,https://vimeo.com/127083533,,Sonifcation is a video,https://vimeo.com/127083533,https://www.co2.earth/global-warming-music-for-string-quartet,,"Planetary Bands, Warming World"
,A Song of Our Warming Planet,Daniel Crawford&Scott S. George/University of Minnesota,2013,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,Player,Public Venue (live performance),No,No,Parameter Mapping,,,,https://vimeo.com/69122809#at=191,,Sonifcation is a video,https://vimeo.com/69122809#at=191,https://www.co2.earth/global-warming-music-for-string-quartet,,A Song of Our Warming Planet
,The Climate Symphony,Marty Quinn,2007,Climate Change,Climate Change,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,n,https://www.youtube.com/watch?v=BbEUAnRZVW4,https://goo.gl/orNC3J,,,,,The Climate Symphony
,The Natural Lottery,Duncan Geere & Miriam Quick (Loud Numbers),2021,,Climate Change,,,,Public Engagement,,,,,,,Parameter Mapping,,,,https://anchor.fm/loudnumbers/episodes/The-Natural-Lottery-e11v806,,,,,,The Natural Lottery
,Treshold,Nelson Guda,2015,,Climate Change,,,,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/d4yRbJ,,,,,,Threshold
,Sonification of Atmospheric Carbon Dioxide in PPM (1958-2008),Aedes Aegypti (Jonathan Eiseman),2016,,Climate Change,,,,Public Engagement,,,,,,,Parameter Mapping,,,1,https://soundcloud.com/aedesaegypti-musician/atmospheric-carbon-dioxide-in-ppm-1958-2008,,,,,,n
,Sonification of Alaskan forest changes,Nik Sawe and Lauren Oakes,2016,,Climate Change,,,,Research,,,,,,,Parameter Mapping,,,1,https://www.theatlantic.com/science/archive/2016/09/this-is-the-sound-of-a-forest-changing/499802/,,,,,,n
,Sorting algorithms,Timo Bingmann,2013,Computer Science,Computer Science,,,Data Analysis,Data Analysis,Domain Experts,,Player,Research Lab,Yes/Video,No,Parameter Mapping,,,,https://www.youtube.com/watch?v=kPRA0W1kECg,,Sonifcation is a video,https://www.youtube.com/watch?v=kPRA0W1kECg,,https://panthema.net/2013/sound-of-sorting/,Sorting algorithms
,What different sorting algorithms sound like,andrut,2010,Computer Science,Computer Science,,,Data Analysis,Data Analysis,Domain Experts,,Player,,,,Parameter Mapping,,,,https://www.youtube.com/watch?v=t8g-iYGHpEA,,Sonifcation is a video,https://www.youtube.com/watch?v=t8g-iYGHpEA,,,What different sorting algorithms sound like
,Listening Post,Mark Hansen and Ben Rubin ,2001,,Computer Science,,,,Art,,,,,,,Audification,,,1,https://goo.gl/VJ3gnY,,,,,,Listening Post
,Sonification for cyber-attacks on water distribution systems,"Sara Lenzi, Ginevra Terenghi, Riccardo Taormina, Stefano Galelli, Paolo Ciuccarelli",2019,Networks Management,Cybersecurity,,,Data Monitoring,Monitoring,,,,,,,Parameter Mapping,,,,https://ginevraterenghi.github.io/sonifying-cyber-attacks/index.html,,,,,,Sonification for cyber-attacks on water distribution systems
,SoNSTAR,Paul Vickers,2017,Cybersecurity,Cybersecurity,,,Decision Making,Monitoring,Domain Experts,,,Security Operations Center,,,Parameter Mapping,,n,,https://zenodo.org/record/1072535#.X6E4mJNKhTY,,Sonification can be downloaded from the page,No,,https://paulvickers.github.io/SoNSTAR/,SoNSTAR
,An Instrument for the Sonification of Everday Things,Denis P Paul,2012,Design,Design,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/LhZuvW,,,,,,An Instrument for the Sonification of Everday Things
,HRTF Bells,Stephen Barrass,2011,,Design,,,,Research,,,,,,,Acoustic Sonification,,,,https://sonification.com/2012/10/08/digital-fabrication-of-acoustic-sonifications/,,,,,,HRTF Bells
,Unemployment rate,Jordan Wirfs-Brock,2020,Economy,Economics,,,Public Engagement,Public Engagement,Public,,Radio Streaming,,No,No,Parameter Mapping,,,,https://www.marketplace.org/2020/06/24/heres-what-the-crescendo-of-unemployment-sounds-like/,,Sonification is within the podcast episode,No,https://www.marketplace.org/2020/06/24/heres-what-the-crescendo-of-unemployment-sounds-like/,,Unemployment rate
,Electric Acoustic,"Gray Crawford, Shengzhi Wu, Devika Singh, and Dan Lockton",2018,Energy consumption,Energy,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,,http://imaginari.es/electric-acoustic-exploring-energy-as-a-design-material-through-sonic-and-vibration-displays/,,,,,,Electric Acoustic
,Powerchord,"Dan Lockton, Flora Bowden, Rama Gheerawo, Clare Brass, Claire Matthews",2014,Energy consumption,Energy,,,Process Monitoring,Monitoring,,,,,,,Parameter Mapping,,,,http://danlockton.com/powerchord-experiments-in-energy-sonification/,,,,,,Powerchord
,Sound of the Office,Dan Lockton,2014,Energy consumption,Energy,,,Process Monitoring,Monitoring,,,,,,,Parameter Mapping,,,,http://architectures.danlockton.co.uk/2014/03/08/work-in-progress-ambient-audible-energy-data/,,,,,,Sound of the Office
,Carbon Composition,Guy Evans,2010,,Energy,,,,Education,,,,,,,Audification,,,1,https://vimeo.com/47297721,,,,,,CarbonComposition
,The Sound of Crowns and Tears,Simon Huwiler,2021,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,,1,,,,,Parameter Mapping,,,,https://www.youtube.com/watch?v=DqfrOPs2pKM,,,,,,Covid-19 visualization with a music box
,COVID19 data sonification,Chelidon Frame,2020,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,Public,1,Website,,Yes/Graphics,No,Model Sonification,,,,https://covid19-data-sonification.space/,,Sonification is an interactive webpage,https://covid19-data-sonification.space/,,,COVID19 data sonification
,Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020,Jamie Pereira,2020,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,Public,1,Player,,No,No,Parameter Mapping,,,,https://soundcloud.com/jamieperera/sonification-every-uk-covid-19-death-by-day,,Sonification is on Soundcloud,No,,,Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020
,Viral Counterpoint of the COVID19 Spike Protein,"Markus J. Buehler, MIT",2020,Epidemiology,Epidemiology,,,Scientific Investigation,Research,Domain Experts,1,Player,,No,No,Parameter Mapping,,,,https://soundcloud.com/user-275864738/viral-counterpoint-of-the-coronavirus-spike-protein-2019-ncov?in=user-275864738/sets/protein-counterpoint,,Sonification is on Soundcloud,No,,,Viral Counterpoint of the COVID19 Spike Protein
,Multi-modal COVID19 analytics,Stephen Roddy,2020,Epidemiology,Epidemiology,,,Data Analysis,Data Analysis,Public,1,Website,,Yes,Yes,Parameter Mapping,,,,https://stephenroddy.github.io/data-scape/,,Sonification is an interactive webpage,https://stephenroddy.github.io/data-scape/,,,Multi-modal COVID19 analytics
,COVID19 spreading rates,TULP interactive,2020,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,,1,,,,,Parameter Mapping,,,,http://covidspreadingrates.org/,,,,,,COVID19 spreading rates
,Coronavirus: How can we imagine the scale of Covid's death toll?,BBC News,2020,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,,1,,,,,Parameter Mapping,,,,https://www.bbc.co.uk/news/resources/idt-7464500a-6368-4029-aa41-ab94e0ee09fb,,,,,,Coronavirus - How can we imagine the scale of Covid's death toll
,Sonification of COVID19 data,Romain Vuillemot,2020,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,,1,,,,,Parameter Mapping,,,,https://observablehq.com/@romsson/sonification-of-covid-19-data,,,,,,Sonification of COVID-19 data
,deathIncrease,Yann Seznec,2020,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,,1,,,,,Parameter Mapping,,,,https://www.yannseznec.com/works/deathincrease/,,,,,,deathIncrease
,Vox Aeterna - The COVID Variations,Rafael Bresciani,2021,,Epidemiology,,,,Public Engagement,,1,,,,,Parameter Mapping,,,,https://rafaelbresciani.com/voxaeterna,,,,,,Vox Aeterna
,Stock Market Data,Jordan Wirfs-Brock,2020,Finance,Finance,,,Public Engagement,Public Engagement,Public,,Radio Streaming,,No,No,Parameter Mapping,,,,https://www.marketplace.org/2020/03/31/the-sounds-of-a-volatile-stock-market/,,Sonification is within the podcast episode,No,https://medium.com/cuinfoscience/sounds-of-a-volatile-stock-market-39ba135faa63,,Stock Market Data
,Turning the yield curve into," Alan Smith, FT",2019,Finance,Finance,,,Data Analysis,Data Analysis,,,,,,,Parameter Mapping,,,,https://www.ft.com/content/80269930-40c3-11e9-b896-fe36ec32aece,,,,,,Turning the yield curve into
,The sound of a falling currency,"Neal Razzell, BBC",2017,Finance,Finance,,,Data Journalism,Data Journalism,,,,,,,Parameter Mapping,,,n,https://goo.gl/XXAt4t,https://goo.gl/tKU8m2,,,,,The sound of a falling currency
,Chains,Daito Manabe,2016,Finance,Finance,,,Art,Art,,,,,,,Model Sonification,,,1,https://goo.gl/d2jwXR,,,,,,Chains
,The Sound of the Economy: Data Sonification and the Cheeseburger Index,"Matt Kenney, Foreign Affairs",2016,Finance,Finance,,,Data Journalism,Data Journalism,,,,,,,Parameter Mapping,,n,1,https://www.foreignaffairs.com/articles/2016-04-04/sound-economy-data-sonification-and-cheeseburger-index,,,,,,The Sound of the Economy: Data Sonification and the Cheeseburger Index
,Deutsche Bank stock fluctuations made into music,Benedict Eris Carey,2016,Finance,Finance,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/SFSXrp,,,,,,Deutsche Bank stock fluctuations made into music
,Silk,Dmitry Morozov,2015,Finance,Finance,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/AEp58d,,,,,,Silk
,FMS Symphony,CSV Soundsystem,2013,Finance,Finance,,,Art,Art,,,,,,,Parameter Mapping,,,n,https://goo.gl/UP2JjM,https://sonificationart.wordpress.com/2017/06/03/fms-symphony/,,,,,FMS Symphony
,"sMax, a toolkit for financial data sonification",Fabio Cifariello Ciardi,2010,Finance,Finance,,,Art,Art,,,,,,,Parameter Mapping,,n,,https://www.icad.org/websiteV2.0/Conferences/ICAD2004/posters/ciardi.pdf,,,,,,"sMax, a toolkit for financial data sonification"
,Max/MSP Stock Market Sonification,Ben Craven,2010,Finance,Finance,,,Art,Art,,,,,,,Parameter Mapping,,,,https://goo.gl/4k4Jby,,,,,,StockMarketSonification
,Share Market,David Worrall,2009,Finance,Finance,,,Data Analysis,Data Analysis,,,,,,,Parameter Mapping,,,,http://www.avatar.com.au/share-market-2/,,,,,,Share Market
,Playing the lottery in plano,Warren Burt,2009,Finance,Finance,,,Art,Art,,,,,,,Parameter Mapping,,n,n,https://goo.gl/ZrEkOT,https://goo.gl/4EvLYn,,,,,Playing the lottery in plano
,Stock Market Music,Patrick Sebastien Coulombe,2009,Finance,Finance,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/yyaqOi,,,,,,Stock Market Music
,Stock Exchange Piece,Matthieu Saladin,2007,Finance,Finance,,,Art,Art,,,,,,,Parameter Mapping,,n,n,https://goo.gl/DdHrv6,https://goo.gl/cVQxB6,,,,,Stock Exchange Piece
,Sound of Money,Helena Davidova,2012,,Finance,,,,Data Analysis,,,,,,,Parameter Mapping,,,1,https://goo.gl/BXPLE3,,,,,,SoundofMoney
,Bitlisten (Listen to Bitcoin),Maximillian Laumeister ,2013,,Finance,,,,Data Analysis,,,,,,,Parameter Mapping,,,1,https://goo.gl/KExBnh,,,,,,Bitlisten
,Vapourwaves,Samuel Van Ransbeeck,2015,,Finance,,,,Data Analysis,,,,,,,Parameter Mapping,,,1,https://goo.gl/7o1iNz,,,,,,Vapourwaves
,London Fix,Tom Hamilton,2003,,Finance,,,,Art,,,,,,,Parameter Mapping,,,1,https://muse-eek.com/tom-hamilton-london-fix/,https://sonificationart.wordpress.com/2017/05/30/london-fix-making-sound-out-of-gold/,,,,,London Fix
,Credit Synthesis,Jonathan Vingiano,2009,,Finance,,,,Art,,,,,,,Parameter Mapping,,,1,https://www.youtube.com/watch?v=gqb1RECW2vo,,,,,,CreditSynthesis
,Market Music,CNN Money,2014,,Finance,,,,Data Journalism,,,,,,,Parameter Mapping,,,1,https://www.youtube.com/watch?v=9JR1bflmC20&t=78s,,,,,,MarketMusic
,Tasting Notes,Duncan Geere & Miriam Quick (Loud Numbers),2021,,Food and Beverage,,,,Public Engagement,,,,,,,Parameter Mapping,,,,https://anchor.fm/loudnumbers/episodes/Tasting-Notes-e12jab3,,,,,,Tasting Notes
,Tower of Hanoi,Phillp Hermans,2018,Gaming,Gaming,,,Education,Education,,,,,,,Parameter Mapping,,,,http://philliphermans.com/hanoi/,,,,,,Tower of Hanoi
,"Shallow Brown, The Musical Chess Engine",Jim Bumgardner,2009,Gaming,Gaming,,,Art,Art,Public,,Player,Public Venue (live performance),No,Yes,Parameter Mapping,,,,https://krazydad.com/ShallowBrownSample.mp3,,You can listen to an mp3 of the sonification on the webpage,No,,,"Shallow Brown, The Musical Chess Engine"
,Kasparov vs Deep Blue,Jim Bumgardner,2009,Gaming,Gaming,,,Art,Art,Public,,Player,Public Venue (live performance),No,Yes,Parameter Mapping,,,,https://krazydad.com/Kasparov_v_DeepBlue_Excerpt2.mp3,,You can listen to an mp3 of the sonification on the webpage,,,,Kasparov vs Deep Blue
,Sonification of Go,Peter Tigges,2012,,Gaming,,,,Research,,,,,,,Parameter Mapping,,,1,https://soundcloud.com/peter-tigges/sonification-of-go,,,,,,n
,Di Protonie Dati,HER: She Loves Data,2021,Health,Health,,,Art,Art,,,,,,,Parameter Mapping,,,,https://www.he-r.it/project/di-protoni-e-dati/,,,,,,Di Protonie Dati
,Care Tunes for Families,Chen Chou,2020,Healthcare,Health,,,Public Engagement,Public Engagement,Public,1,Mobile App,,Yes/Graphics,Yes,Parameter Mapping,,,,https://www.youtube.com/watch?v=RXihb7dWx4o&feature=emb_title,,You cannot really listen to the sonification,https://www.tudelft.nl/en/stories/articles/how-the-intensive-care-brings-music-to-your-ears/,https://www.tudelft.nl/en/stories/articles/how-the-intensive-care-brings-music-to-your-ears/,,Care Tunes for Families
,The Silent Cries of China Depressed Netizens,Liu Chang,2019,Public Health,Health,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,,http://www.sixthtone.com/news/1004543/the-silent-cries-of-chinas-depressed-netizens,,,,,,The Silent Cries of China Depressed Netizens
,Skin cancer detection by sonification,Avi Dascalu and Eli David,2019,Medicine,Health,,,Data Analysis,Data Analysis,,,,,,,Parameter Mapping,,n,,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(19)30294-4/fulltext,,,,,,Skin cancer detection by sonification
,Making music from diabetes data,,2017,Health,Health,,,Public Engagement,Public Engagement,Public,,Player,,No,No,Parameter Mapping,,,,https://music.apple.com/us/album/iddm-ep/1393080657,,Sonifcation is a video,No,https://www.youtube.com/watch?v=Kt1Yhb8fZj8&sns=tw,,Making music from diabetes data
,Rhapsody in Grey,Brian Foo,2015,Health,Health,,,Art,Art,,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/121042482,,Sonifcation is a video,https://vimeo.com/121042482,https://datadrivendj.com/tracks/brain/,,Rhapsody in Grey
,Cove App,Humane Engineering,2015,Health,Health,,,Education,Education,,,,,,,Model Sonification,,,,http://www.cove-app.com/,,,,,,cover
,One Year of Suicide in Japan for Piano,Rory Viner ,2014,,Health,,,,Art,,,,,,,Parameter Mapping,,,1,https://soundcloud.com/rory-viner/one-year-of-suicide-statistics,,,,,,SuicideJapan
,TransProse,Hannah Davis,2013,Digital Humanities,Humanities,,,Digital Humanities,Research,,,,,,,Parameter Mapping,,,,http://www.musicfromtext.com/,,,,,,TransProse
,Sonic Word Cloud ,Daniel Ruten,2017,,Humanities,,,,Data Analysis,,,,,,,Audification,,,1,https://danielruten.wordpress.com/2017/04/15/sonic-word-clouds-an-experiment-with-data-sonification-part-i-introduction/,,,,,,Sonic Word Clouds
,Data Waltz,Hatnote,2017,Digital Media,Internet,,,Public Engagement,Public Engagement,Public,,,Public Venue (interactive installation),Yes/Installation,Yes,Model Sonification,,,,https://vimeo.com/208084520,,Sonifcation is a video,https://architizer.com/projects/data-waltz/,https://architizer.com/projects/data-waltz/,,Data Waltz
,Echo,Binaura collective,2016,Digital Media,Internet,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/jNiKhH,,,,,,Echo
,NetSon,David Worrall and Fraunhofer Institute,2015,Networks Management,Internet,,,Process Monitoring,Monitoring,,,,,,,Parameter Mapping,,,,http://www.avatar.com.au/netson/,,,,,,NetSon
,Corpo Real,David Worrall and Udo Rink,2015,Networks Management,Internet,,,Art,Art,,,,,,,Parameter Mapping,,,,http://www.avatar.com.au/corpo-real/,,,,,,Corpo Real
,Phantom Terrains,Frank Swain and Daniel Jones,2014,Networks Management,Internet,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,1,https://goo.gl/rHrFMv,,,,,,Phantom Terrains
,Specimen Box,Office for Creative Reserach and Microsoft,2014,Internet,Internet,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,1,https://goo.gl/5fGj33,,,,,,Specimen Box
,Listen to Wikipedia,Hatnote,2012,Digital Media,Internet,,,Public Engagement,Public Engagement,Public,,Website,,Yes/Visuals,Yes,Model Sonification,,,,http://listen.hatnote.com/,,Sonification is an interactive webpage,http://listen.hatnote.com/,,,Listen to Wikipedia
,WikiIRC ou la sonification de Wikipedia,"Baudu, Templier & Bloques",2012,Digital Media,Internet,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/5qZZq0,,,,,,WikiIRC ou la sonification de Wikipedia
,The Pirate Cinema,Nicolas Maigret,2012,Internet,Internet,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/yrIqwM,,,,,,The Pirate Cinema
,Leech,Curtis McKinney & Alain Renaud,2011,Internet,Internet,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,1,https://goo.gl/fsKseR,,,,,,Leech
,Maelstrom,Jones & Bulley,2011,Internet,Internet,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/VImH2h,,,,,,Maelstrom
,Submap Ebullation 2.0,"Feles Daniel, Gergely Krisztian, Kiss Laszlo",2010,Digital Media,Internet,,,Art,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/Ar31BG,,,,,,Submap Ebullation
,N.A.G. (Network Auralization for Gnutella),Jason Freeman,2003,Networks Management,Internet,,,Art,Art,,,,,,,Parameter Mapping,,n,n,https://goo.gl/poZKfi,https://goo.gl/RgOkq0,,,,,N.A.G. (Network Auralization for Gnutella)
,Sonification of you,Martin John Callanan,2006,,Internet,,,,Art,,,,,,,Parameter Mapping,,,1,https://goo.gl/V7CBYL,,,,,,SonificationofYou
